*** Dátum: 6-2-2019 ***
*** Konfigurácia kyvadla: ***
Váha:;0.063000;Dåžka lanka:;0.530000
Ubehnutý èas:;Súradnica x:;Súradnica y:;Aktuálna výchylka:;Rýchlos;Zrýchlenie:;Uhlová rýchlos:;Uhlové zrýchlenie:;Potenciálna energia:;Kinetická energia:;Perióda:;Frekvencia:
5770;3.816000;9.539999;0.381145;6.286070;-3.649155;5.243081;-6.885199;1.605024;1.244712;1.460395;0.684746
5802;4.505000;10.175999;0.304675;7.210617;-2.942835;5.315182;-5.552519;1.211957;1.637779;1.460395;0.684746
5835;4.929000;10.546999;0.256102;7.698832;-2.484984;5.352494;-4.688650;0.982668;1.867069;1.460395;0.684746
5865;6.095000;10.758999;0.245209;7.964387;-2.381470;5.359963;-4.493341;0.851645;1.998091;1.460395;0.684746
5898;7.102000;11.023999;0.217884;8.284368;-2.120569;5.377258;-4.001074;0.687867;2.161869;1.460395;0.684746
5930;8.427000;11.341999;0.179160;8.652740;-1.748172;5.398247;-3.298437;0.491334;2.358402;1.460395;0.684746
5963;10.228999;11.659999;0.135132;9.006058;-1.321617;5.417113;-2.493618;0.294800;2.554936;1.460395;0.684746
5995;12.083999;11.977999;0.061205;9.346028;-0.600050;5.436878;-1.132170;0.098267;2.751469;1.460395;0.684746
6025;13.938999;12.083999;0.031743;9.456636;-0.311350;5.440604;-0.587453;0.032756;2.816981;1.460395;0.684746
6058;16.005999;12.242999;0.166282;9.401494;-1.623724;5.404314;-3.063631;0.065511;2.784225;1.460395;0.684746
6090;17.966999;12.295999;-0.453598;9.346028;4.298764;5.159487;8.110876;0.098267;2.751469;1.460395;0.684746
6137;19.927999;12.242999;-0.079957;9.401494;0.783546;5.433275;1.478389;0.065511;2.784225;1.460395;0.684746
6170;22.047999;12.189999;-0.022221;9.456636;0.217973;5.441304;0.411270;0.032756;2.816981;1.460395;0.684746
6202;24.008999;12.136999;-0.000000;9.511457;0.000000;5.441975;0.000000;0.000000;2.849736;1.460395;0.684746
6235;25.863999;11.977999;-0.037033;9.346028;0.363209;5.440109;0.685300;0.098267;2.751469;1.460395;0.684746
6265;27.718999;11.871999;-0.050751;9.234095;0.497649;5.438471;0.938960;0.163778;2.685958;1.460395;0.684746
6298;29.202998;11.765999;-0.062202;9.120789;0.609810;5.436711;1.150585;0.229289;2.620447;1.460395;0.684746
6330;30.527998;11.606999;-0.079957;8.948140;0.783546;5.433275;1.478389;0.327556;2.522180;1.460395;0.684746
6363;31.587998;11.500999;-0.088830;8.831166;0.870281;5.431236;1.642040;0.393067;2.456669;1.460395;0.684746
6395;32.117998;11.341999;-0.107041;8.652740;1.048064;5.426380;1.977479;0.491334;2.358402;1.460395;0.684746
6426;32.329998;11.129999;-0.133604;8.408952;1.306757;5.417672;2.465579;0.622356;2.227380;1.460395;0.684746
6475;32.329998;11.076999;-0.140613;8.346893;1.374872;5.415053;2.594098;0.655112;2.194624;1.460395;0.684746
6505;32.276998;11.235999;-0.119997;8.531717;1.174349;5.422373;2.215753;0.556845;2.292891;1.460395;0.684746
6537;31.905998;11.394999;-0.101362;8.712622;0.992663;5.427991;1.872950;0.458578;2.391158;1.460395;0.684746
6570;31.057998;11.606999;-0.076885;8.948140;0.753501;5.433931;1.421700;0.327556;2.522180;1.460395;0.684746
6603;29.891998;11.712999;-0.067202;9.063605;0.658751;5.435830;1.242927;0.262045;2.587692;1.460395;0.684746
6636;28.460998;11.871999;-0.047384;9.234095;0.464668;5.438920;0.876732;0.163778;2.685958;1.460395;0.684746
